consumption,sun,rainfall,wind
2337329.807,0,0.2,18
2276644.882,0,0.1,16.35
2288741.036,0,0.1,16.75
2266057.796,0,0,13.9
2243503.542,0,0.4,10.95
2209830.294,0,0.2,21.6
2181411.352,0,0.2,18.7
2213037.297,0,0.2,14.4
2276923.413,0,0.1,13.85
2204777.037,0,0.2,13.15
2107623.218,0,0.1,13.7
2002147.877,0,0.1,9
1951884.089,0,0.2,8.1
1921608.502,0,0.1,5.6
1857580.071,0,0,9.4
1833614.258,0,0.3,6.45
1781221.334,0,0.5,3.75
1739897.104,0,0.5,3.45
1651489.221,0,0.3,5.55
1636590.238,0,0.1,5.6
1646261.072,0,0.2,7.75
1661690.77,0,0.3,6.5
1769283.142,0,0,6.15
1849645.848,0,0.2,12.95
1908150.78,0,0.1,12.05
1896153.507,0,0.3,13.15
1952793.226,0,0.1,11
1959749.114,0,0.1,11.85
1925819.189,7,0.1,7.9
1912349.173,0,0,8.8
1909028.712,0,0,11
1978984.543,0,0,11.5
2084028.117,0,0,12.25
2034509.419,0,0,5.8
1937574.158,0,0,4.7
1854182.782,0,0,4.35
1822972.609,0,0,3.8
1799923.505,0,0,5.75
1751521.279,0,0,6.15
1718277.655,0,0,4.15
1687129.264,0,0,3.25
1656403.429,0,0,3.8
1592500.979,0,0,4.1
1586338.446,0,0,4.35
1557704.418,0,0,2.7
1536730.536,0,0,3.05
1594620.263,0,0,3.4
1689007.721,20.5,0,4.15
1753159.726,30,0,4.5
1775123.406,30,0,6.1
1825082.201,19.5,0,8.1
1816748.689,0,0,10.8
1760428.263,0,0,9.35
1744356.985,0,0,5.95
1766826.648,0,0,4.5
1893126.628,0,0,3.2
2038000.817,0,0,2.7
2027106.164,0,0,2.5
1972027.708,0,0,2.7
1884439.119,0,0,3.05
1847655.13,0,0,2.35
1807214.982,0,0,3.75
1737198.732,0,0,3.05
1741339.37,0,0,3.95
1716583.542,0,0,4.7
1728337.49,0,0,3.4
1695485.316,0,0,2.35
1764524.36,0,0,2.7
1928419.283,0,0,2
2152233.177,0,0,3.25
2352204.225,13.5,0,2.85
2393665.999,21.5,0,3.6
2401010.823,40,0,5.05
2355720.503,56.5,0,5.6
2357764.996,60,0,5.2
2321554.09,19.5,0.1,7.2
2307516.567,5,0,8.65
2290662.159,0,0,9.55
2290034.166,0,0,6.5
2284548.949,0,0,5.25
2383515.015,0,0,5.55
2327747.177,0,0,5.4
2223573.628,0,0,5.4
2113921.862,0,0,5.6
2060311.61,0,0,3.95
2020245.087,0,0,4
1941839.606,0,0,4.1
1920409.363,0,0,4.5
1892509.171,0,0,4.3
1873052.897,0,0,4.5
1792177.776,0,0,4.35
1856244.78,0,0,4.1
2003633.042,0,0,4.65
2220824.742,0,0,4.7
2411385.347,0,0,4.3
2440303.649,4.5,0,4.15
2470513.813,30,0,5.2
2412407.825,32,0,6.8
2409532.271,39,0,9.55
2388571.849,7.5,0,9.9
2381690.09,0,0,9.35
2344334.003,0,0,6.8
2347500.487,0,0,5.4
2340427.076,0,0,4.85
2434919.307,0,0,5.9
2381056.93,0,0,5.75
2274469.046,0,0,7.75
2153558.844,0,0,7.9
2088745.816,0,0,7.2
2061681.903,0,0,4.5
1962858.554,0,0,6.85
1949190.994,0,0,6.1
